구분,지역,통보문 지점명,관서코드(개황) 또는 예보구역코드
개황,전국,기상청,108
개황,서울·인천·경기도,수도권(서울),109
개황,부산.울산.경상남도,부산,159
개황,대구.경상북도,대구,143
개황,광주.전라남도,광주,156
개황,전라북도,전주,146
개황,대전.세종.충청남도,대전,133
개황,충청북도,청주,131
개황,강원도,강원,105
개황,제주도,제주,184
육상,서울·인천·경기도,서울,11B10101
육상,서울·인천·경기도,인천,11B20201
육상,서울·인천·경기도,수원,11B20601
육상,서울·인천·경기도,성남,11B20605
육상,서울·인천·경기도,안양,11B20602
육상,서울·인천·경기도,광명,11B10103
육상,서울·인천·경기도,과천,11B10102
육상,서울·인천·경기도,평택,11B20606
육상,서울·인천·경기도,오산,11B20603
육상,서울·인천·경기도,의왕,11B20609
육상,서울·인천·경기도,용인,11B20612
육상,서울·인천·경기도,군포,11B20610
육상,서울·인천·경기도,안성,11B20611
육상,서울·인천·경기도,화성,11B20604
육상,서울·인천·경기도,양평,11B20503
육상,서울·인천·경기도,구리,11B20501
육상,서울·인천·경기도,남양주,11B20502
육상,서울·인천·경기도,하남,11B20504
육상,서울·인천·경기도,이천,11B20701
육상,서울·인천·경기도,여주,11B20703
육상,서울·인천·경기도,광주,11B20702
육상,서울·인천·경기도,의정부,11B20301
육상,서울·인천·경기도,고양,11B20302
육상,서울·인천·경기도,파주,11B20305
육상,서울·인천·경기도,양주,11B20304
육상,서울·인천·경기도,동두천,11B20401
육상,서울·인천·경기도,연천,11B20402
육상,서울·인천·경기도,포천,11B20403
육상,서울·인천·경기도,가평,11B20404
육상,서울·인천·경기도,강화,11B20101
육상,서울·인천·경기도,김포,11B20102
육상,서울·인천·경기도,시흥,11B20202
육상,서울·인천·경기도,부천,11B20204
육상,서울·인천·경기도,안산,11B20203
육상,서울·인천·경기도,백령도,11A00101
육상,부산.울산.경상남도,부산,11H20201
육상,부산.울산.경상남도,울산,11H20101
육상,부산.울산.경상남도,김해,11H20304
육상,부산.울산.경상남도,양산,11H20102
육상,부산.울산.경상남도,창원,11H20301
육상,부산.울산.경상남도,밀양,11H20601
육상,부산.울산.경상남도,함안,11H20603
육상,부산.울산.경상남도,창녕,11H20604
육상,부산.울산.경상남도,의령,11H20602
육상,부산.울산.경상남도,진주,11H20701
육상,부산.울산.경상남도,하동,11H20704
육상,부산.울산.경상남도,사천,11H20402
육상,부산.울산.경상남도,거창,11H20502
육상,부산.울산.경상남도,합천,11H20503
육상,부산.울산.경상남도,산청,11H20703
육상,부산.울산.경상남도,함양,11H20501
육상,부산.울산.경상남도,통영,11H20401
육상,부산.울산.경상남도,거제,11H20403
육상,부산.울산.경상남도,고성,11H20404
육상,부산.울산.경상남도,남해,11H20405
육상,대구.경상북도,대구,11H10701
육상,대구.경상북도,영천,11H10702
육상,대구.경상북도,경산,11H10703
육상,대구.경상북도,청도,11H10704
육상,대구.경상북도,칠곡,11H10705
육상,대구.경상북도,김천,11H10601
육상,대구.경상북도,구미,11H10602
육상,대구.경상북도,군위,11H10603
육상,대구.경상북도,고령,11H10604
육상,대구.경상북도,성주,11H10605
육상,대구.경상북도,안동,11H10501
육상,대구.경상북도,의성,11H10502
육상,대구.경상북도,청송,11H10503
육상,대구.경상북도,상주,11H10302
육상,대구.경상북도,문경,11H10301
육상,대구.경상북도,예천,11H10303
육상,대구.경상북도,영주,11H10401
육상,대구.경상북도,봉화,11H10402
육상,대구.경상북도,영양,11H10403
