"#STN_ID,","STN_KO,","STN_SP,","LON,","LAT,","HT,","FCT_ID,","WRN_ID,","WRN_KO,",SFC_STN_ID=
지점번호,지점명,특성코드,경도,위도,해발고도,예보구역코드,특보구역코드,특보구역명,특보발표 대표지점번호
"90,","속초,","41211210,","128.56473000,","38.25085000,","17.53,","11D20401,","L1020510,","속초시평지,","90,="
"93,","북춘천,","41211111,","127.75443000,","37.94738000,","95.78,","11D10301,","L1021600,","춘천시,","101,="
"95,","철원,","41211110,","127.30420000,","38.14787000,","155.48,","11D10101,","L1021300,","철원군,","95,="
"96,","독도,","01111100,","131.86983000,","37.23952000,","99.08,","11E00102,","L1072100,","울릉도독도,","115,="
"98,","동두천,","41211210,","127.06070000,","37.90188000,","115.62,","11B20401,","L1011100,","동두천시,","98,="
"99,","파주,","41211210,","126.76648000,","37.88589000,","30.59,","11B20305,","L1011800,","파주시,","99,="
"100,","대관령,","41211110,","128.71834000,","37.67713000,","772.43,","11D20201,","L1026020,","평창군산간,","100,="
"101,","춘천,","41211111,","127.73570000,","37.90262000,","75.82,","11D10301,","L1021600,","춘천시,","101,="
"102,","백령도,","41211110,","124.71237000,","37.97396000,","36.00,","11A00101,","L1014100,","서해5도,","102,="
"104,","북강릉,","41211111,","128.85535000,","37.80456000,","75.24,","11D20501,","L1020110,","강릉시평지,","105,="
"105,","강릉,","41211111,","128.89099000,","37.75147000,","27.12,","11D20501,","L1020110,","강릉시평지,","105,="
"106,","동해,","41211210,","129.12433000,","37.50709000,","40.46,","11D20601,","L1020210,","동해시평지,","106,="
"108,","서울,","41211111,","126.96580000,","37.57142000,","85.67,","11B10101,","L1100400,","서울서북권,","108,="
"112,","인천,","41211111,","126.62490000,","37.47772000,","68.99,","11B20201,","L1010800,","인천광역시,","112,="
"114,","원주,","41211110,","127.94659000,","37.33749000,","150.11,","11D10401,","L1021200,","원주시,","114,="
"115,","울릉도,","41211111,","130.89863000,","37.48129000,","221.14,","11E00101,","L1072100,","울릉도독도,","115,="
"116,","관악(레),","01110000,","126.96402000,","37.44526000,","624.82,","11B10102,","L1010300,","과천시,","590,="
"119,","수원,","X1211110,","126.98300000,","37.25746000,","39.81,","11B20601,","L1011900,","수원시,","119,="
"121,","영월,","41211210,","128.45743000,","37.18126000,","240.54,","11D10501,","L1020800,","영월군,","121,="
"127,","충주,","41211210,","127.95250000,","36.97045000,","114.85,","11C10101,","L1040800,","충주시,","127,="
"129,","서산,","X1211111,","126.49390000,","36.77658000,","25.25,","11C20101,","L1031300,","서산시,","129,="
"130,","울진,","41211210,","129.41278000,","36.99176000,","48.98,","11H10101,","L1072310,","울진군평지,","130,="
"131,","청주,","41211110,","127.44066000,","36.63924000,","58.70,","11C10301,","L1040100,","청주시,","131,="
"133,","대전,","41211111,","127.37211000,","36.37198000,","70.22,","11C20401,","L1030100,","대전광역시,","133,="
"135,","추풍령,","41211110,","127.99458000,","36.22025000,","244.98,","11C10401,","L1040700,","영동군,","135,="
"136,","안동,","41211110,","128.70733000,","36.57293000,","141.26,","11H10501,","L1071500,","안동시,","136,="
"137,","상주,","41211210,","128.15741000,","36.40837000,","96.58,","11H10302,","L1071200,","상주시,","137,="
"138,","포항,","41211111,","129.38002000,","36.03201000,","3.94,","11H10201,","L1072400,","포항시,","138,="
"140,","군산,","41211210,","126.76135000,","36.00530000,","27.85,","21F10501,","L1060300,","군산시,","140,="
"143,","대구,","41211110,","128.65296000,","35.87797000,","54.27,","11H10701,","L1070100,","대구광역시,","143,="
"146,","전주,","41211110,","127.11718000,","35.84092000,","60.44,","11F10201,","L1061300,","전주시,","146,="
"152,","울산,","41211210,","129.33469000,","35.58237000,","81.14,","11H20101,","L1080300,","울산광역시,","152,="
"155,","창원,","41211110,","128.57282000,","35.17019000,","34.97,","11H20301,","L1080600,","창원시,","155,="
"156,","광주,","41211110,","126.89156000,","35.17294000,","70.28,","11F20501,","L1050100,","광주광역시,","156,="
"159,","부산,","41211111,","129.03203000,","35.10468000,","69.56,","11H20201,","L1080100,","부산광역시,","159,="
"160,","부산(레),","01110000,","128.99995000,","35.11882000,","512.00,","11H20201,","L1080100,","부산광역시,","159,="
"162,","통영,","41211210,","128.43561000,","34.84541000,","31.24,","11H20401,","L1082000,","통영시,","162,="
"165,","목포,","41211111,","126.38151000,","34.81732000,","44.70,","21F20801,","L1052100,","목포시,","165,="
"168,","여수,","41211111,","127.74063000,","34.73929000,","65.93,","11F20401,","L1051000,","여수시,","168,="
"169,","흑산도,","41211110,","125.45105000,","34.68719000,","75.12,","11F20701,","L1052500,","흑산도홍도,","169,="
"170,","완도,","41211210,","126.70182000,","34.39590000,","35.37,","11F20301,","L1051600,","완도군,","170,="
"172,","고창,","41211110,","126.59900000,","35.34824000,","52.42,","21F10601,","L1060100,","고창군,","172,="
"174,","순천,","41211210,","127.36940000,","35.02040000,","165.00,","11F20603,","L1051200,","순천시,","174,="
"175,","진도(레),","01211000,","126.32380000,","34.47211000,","478.51,","21F20201,","L1052300,","진도군,","268,="
"177,","홍성,","41211110,","126.68772000,","36.65759000,","27.74,","11C20104,","L1031600,","홍성군,","177,="
"184,","제주,","41211111,","126.52969000,","33.51411000,","20.79,","11G00201,","L1090700,","제주도북부,","184,="
"185,","고산,","41211110,","126.16283000,","33.29382000,","71.39,","11G00500,","L1090600,","제주도서부,","779,="
"188,","성산,","41211210,","126.88020000,","33.38677000,","20.34,","11G00100,","L1090800,","제주도동부,","188,="
"189,","서귀포,","41211210,","126.56530000,","33.24616000,","51.86,","11G00401,","L1090900,","제주도남부,","189,="
"192,","진주,","41211110,","128.04004000,","35.16378000,","29.35,","11H20701,","L1081400,","진주시,","192,="
"201,","강화,","41211210,","126.44634000,","37.70739000,","47.84,","11B20101,","L1010900,","강화군,","201,="
"202,","양평,","41211210,","127.49446000,","37.48863000,","47.26,","11B20503,","L1013500,","양평군,","202,="
"203,","이천,","41211210,","127.48421000,","37.26399000,","80.09,","11B20701,","L1013000,","이천시,","203,="
"211,","인제,","41211210,","128.16714000,","38.05986000,","201.78,","11D10201,","L1021810,","인제군평지,","211,="
