,,
번호,areaCode,특보구역 명
1,L1050100,광주
2,L1050200,나주
3,L1050300,담양
4,L1050400,곡성
5,L1050500,구례
6,L1050600,장성
7,L1050700,화순
8,L1050800,고흥
9,L1050900,보성
10,L1051000,여수
11,L1051100,광양
12,L1051200,순천
13,L1051300,장흥
14,L1051400,강진
15,L1051500,해남
16,L1051600,완도
17,L1051700,영암
18,L1051800,무안
19,L1051900,함평
20,L1052000,영광
21,L1052100,목포
22,L1052200,신안(흑산면제외)
23,L1052300,진도
24,L1052500,흑산도.홍도
25,L1052600,거문도.초도
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
