,,
번호,areaCode,특보구역 명
1,L1070100,대구
2,L1070300,구미
3,L1070400,영천
4,L1070500,경산
5,L1070600,군위
6,L1070700,청도
7,L1070800,고령
8,L1070900,성주
9,L1071000,칠곡
10,L1071100,김천
11,L1071200,상주
12,L1071300,문경
13,L1071400,예천
14,L1071500,안동
15,L1071600,영주
16,L1071700,의성
17,L1071800,청송
18,L1071910,영양평지
19,L1072010,봉화평지
20,L1072100,울릉도.독도
21,L1072200,영덕
22,L1072310,울진평지
23,L1072400,포항
24,L1072500,경주
25,L1075020,경북북동산지
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
