,,
번호,areaCode,특보구역 명
1,L1010100,서울 종료
1,L1100100,서울(동남권)
2,L1100200,서울(동북권)
3,L1100300,서울(서남권)
4,L1100400,서울(서북권)
5,L1010200,광명
6,L1010300,과천
7,L1010400,안산
8,L1010500,시흥
9,L1010600,부천
10,L1010700,김포
11,L1010800,인천
12,L1010900,강화
13,L1011100,동두천
14,L1011200,연천
15,L1011300,포천
16,L1011400,가평
17,L1011500,고양
18,L1011600,양주
19,L1011700,의정부
20,L1011800,파주
21,L1011900,수원
22,L1012000,성남
23,L1012100,안양
24,L1012200,구리
25,L1012300,남양주
26,L1012400,오산
27,L1012500,평택
28,L1012600,군포
29,L1012700,의왕
30,L1012800,하남
31,L1012900,용인
32,L1013000,이천
33,L1013100,안성
34,L1013200,화성
35,L1013300,여주
36,L1013400,광주
37,L1013500,양평
38,L1013600,옹진
39,L1014100,서해5도
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
